column,dtype,non_null,missing,missing_pct,unique_values
movie_name,str,3959,0,0.0,3915
release_date,datetime64[us],3959,0,0.0,2258
production_budget_usd,int64,3959,0,0.0,380
domestic_gross_usd,int64,3959,0,0.0,3959
worldwide_gross_usd,int64,3959,0,0.0,3957
domestic_box_office_usd,float64,3959,0,0.0,3959
international_box_office_usd,float64,3959,0,0.0,3845
worldwide_box_office_usd,float64,3959,0,0.0,3957
opening_weekend_usd,float64,3959,0,0.0,3958
legs,float64,3959,0,0.0,899
infl_adj_dom_bo_usd,float64,3959,0,0.0,3951
mpaa_rating,str,3959,0,0.0,12
running_time_minutes,float64,3959,0,0.0,124
source,str,3959,0,0.0,23
genre,str,3959,0,0.0,14
production_method,str,3959,0,0.0,7
creative_type,str,3959,0,0.0,10
domestic_share_percentage,float64,3959,0,0.0,932
release_year,Int64,3959,0,0.0,53
release_month,Int64,3959,0,0.0,12
release_quarter,Int64,3959,0,0.0,4
opening_theaters,float64,3959,0,0.0,2008
max_theaters,float64,3959,0,0.0,2349
avg_weeks_per_theater,float64,3959,0,0.0,183
is_franchise,Int64,3959,0,0.0,2
profit_worldwide,float64,3959,0,0.0,3957
profit_domestic,float64,3959,0,0.0,3958
roi_worldwide,float64,3959,0,0.0,3959
roi_domestic,float64,3959,0,0.0,3959
log_domestic_box_office,float64,3959,0,0.0,3959
log_worldwide_box_office,float64,3959,0,0.0,3957
log_budget,float64,3959,0,0.0,380
log_opening_weekend,float64,3959,0,0.0,3958
log_opening_theaters,float64,3959,0,0.0,2008
log_max_theaters,float64,3959,0,0.0,2349
imdb_id,str,3959,0,0.0,3959
imdb_rating,float64,3861,98,2.48,76
imdb_votes,str,3867,92,2.32,3809
imdb_rating_num,float64,3861,98,2.48,76
imdb_votes_num,float64,3867,92,2.32,3809
