movie_name,release_year,genre,opening_theaters,max_theaters,theater_expansion_ratio,opening_to_max_ratio,imdb_rating_num,legs,worldwide_box_office_usd,roi_worldwide
Frozen,2013,Musical,1.0,3742.0,3742.0,0.0003,7.4,5.95,1271023300.0,8.47
Toy Story 2,1999,Adventure,1.0,3257.0,3257.0,0.0003,7.9,4.28,511358276.0,5.68
Hercules,1997,Adventure,1.0,2930.0,2930.0,0.0003,7.3,4.62,250700000.0,3.58
A Bug’s Life,1998,Adventure,1.0,2773.0,2773.0,0.0004,7.2,4.9,363095319.0,8.07
Anastasia,1997,Musical,1.0,2514.0,2514.0,0.0004,7.2,4.14,139801096.0,2.64
The Princess and the Frog,2009,Adventure,2.0,3475.0,1737.5,0.0006,7.2,4.31,270997378.0,2.58
Mr. Holland’s Opus,1995,Drama,1.0,1659.0,1659.0,0.0006,7.3,8.92,106282604.0,3.43
Lone Survivor,2013,Action,2.0,3285.0,1642.5,0.0006,7.3,3.31,149804632.0,3.75
Atlantis: The Lost Empire,2001,Adventure,2.0,3071.0,1535.5,0.0007,6.9,4.13,186049020.0,2.07
Brother Bear,2003,Adventure,2.0,3030.0,1515.0,0.0007,6.9,4.4,250397798.0,5.44
Snatch,2000,Black Comedy,1.0,1444.0,1444.0,0.0007,,3.76,83593107.0,8.36
Beauty and the Beast,1991,Musical,2.0,2625.0,1312.5,0.0008,8.0,11.62,438656843.0,21.93
The Lion King,1994,Adventure,2.0,2624.0,1312.0,0.0008,8.5,10.37,988389726.0,12.46
The Shape of Water,2017,Drama,2.0,2341.0,1170.5,0.0009,7.3,10.78,195790794.0,10.04
Aladdin,1992,Adventure,2.0,2331.0,1165.5,0.0009,8.0,11.27,504050219.0,18.0
Moulin Rouge,2001,Musical,2.0,2283.0,1141.5,0.0009,7.6,4.18,179199536.0,3.38
Sicko,2007,Documentary,1.0,1117.0,1117.0,0.0009,8.0,5.45,36535837.0,4.06
Bulworth,1998,Comedy,2.0,2051.0,1025.5,0.001,6.8,2.52,29203383.0,0.97
A Man Called Otto,2022,Comedy,4.0,3957.0,989.25,0.001,7.5,5.01,108641148.0,2.17
Hostiles,2017,Western,3.0,2934.0,978.0,0.001,7.2,2.95,36976336.0,0.74
Dreamgirls,2006,Musical,3.0,2797.0,932.33,0.0011,6.6,7.33,155620350.0,2.07
The Revenant,2015,Adventure,4.0,3711.0,927.75,0.0011,,4.61,532938302.0,3.95
Defiance,2009,Drama,2.0,1793.0,896.5,0.0011,7.1,3.21,52987754.0,1.06
The Lovely Bones,2009,Drama,3.0,2638.0,879.33,0.0011,6.6,2.59,94894448.0,1.0
Bobby,2006,Drama,2.0,1670.0,835.0,0.0012,7.0,2.31,20597806.0,1.47
