release_year,films,median_opening_theaters,median_max_theaters,limited_opening_pct,wide_opening_pct,median_expansion_ratio,median_imdb_rating
1972,1,6.0,596.0,100.0,0.0,99.33,9.2
1974,1,295.0,295.0,0.0,0.0,1.0,7.0
1975,2,205.5,748.0,50.0,0.0,64.02,7.75
1976,2,744.5,744.5,0.0,0.0,1.0,6.75
1977,1,194.0,194.0,0.0,0.0,1.0,7.0
1978,3,640.0,817.0,0.0,0.0,1.61,7.2
1979,6,208.0,556.5,50.0,0.0,10.2,7.2
1980,6,625.0,625.0,33.33,0.0,1.0,7.55
1981,9,659.0,708.0,22.22,0.0,1.14,7.1
1982,12,922.0,1086.0,8.33,0.0,1.18,7.35
1983,9,1140.0,1140.0,0.0,0.0,1.02,6.5
1984,15,1005.0,1112.0,13.33,0.0,1.07,7.3
1985,13,1204.0,1207.0,30.77,7.69,1.01,6.7
1986,11,1040.0,1454.0,18.18,0.0,1.37,7.1
1987,12,1176.5,1460.5,8.33,8.33,1.07,7.4
1988,13,1249.0,1590.0,7.69,7.69,1.25,7.25
1989,13,1585.0,1587.0,0.0,30.77,1.01,6.9
1990,17,1901.0,1978.0,5.88,35.29,1.03,7.2
1991,14,1556.0,1678.0,14.29,28.57,1.1,7.3
1992,19,1925.0,2087.0,10.53,47.37,1.01,7.0
1993,19,1605.0,1937.0,15.79,31.58,1.06,6.95
1994,28,2063.0,2173.0,10.71,57.14,1.04,6.85
1995,47,1821.0,2027.0,23.4,44.68,1.05,6.8
1996,61,1956.0,2007.0,27.87,45.9,1.03,6.6
1997,58,2220.0,2434.5,18.97,62.07,1.04,6.9
1998,68,2340.0,2477.0,22.06,63.24,1.03,6.8
1999,85,2222.0,2370.0,23.53,58.82,1.02,6.8
2000,128,2293.5,2411.5,22.66,59.38,1.02,6.5
2001,124,2346.5,2450.0,20.97,60.48,1.01,6.4
2002,150,2226.0,2336.0,22.0,54.0,1.0,6.4
2003,147,2382.0,2520.0,26.53,59.86,1.01,6.3
2004,164,2445.0,2488.5,24.39,61.59,1.01,6.5
2005,154,2427.5,2447.5,24.68,57.79,1.0,6.5
2006,178,2272.5,2386.0,26.4,57.87,1.0,6.6
2007,153,2250.0,2305.0,28.76,57.52,1.01,6.7
2008,181,2510.0,2585.0,22.1,64.09,1.0,6.4
2009,159,2450.0,2506.0,23.9,60.38,1.0,6.4
2010,166,2647.0,2673.5,27.71,65.06,1.0,6.3
2011,172,2637.5,2718.5,26.74,63.37,1.0,6.4
2012,167,2567.0,2717.0,23.35,65.27,1.0,6.5
2013,155,2620.0,2690.0,27.74,64.52,1.0,6.5
2014,159,2781.0,2867.0,24.53,64.78,1.01,6.4
2015,167,2683.0,2775.0,25.15,61.08,1.0,6.5
2016,185,2575.0,2821.0,24.86,64.86,1.0,6.4
2017,138,2824.5,2932.5,19.57,65.94,1.0,6.5
2018,151,2776.0,2859.0,17.88,70.86,1.0,6.5
2019,133,2861.0,2998.0,15.04,77.44,1.0,6.5
2020,38,2442.0,2494.0,13.16,65.79,1.0,6.3
2021,58,3180.5,3185.0,5.17,82.76,1.0,6.3
2022,61,3650.0,3666.0,11.48,81.97,1.0,6.5
2023,68,3619.0,3666.5,8.82,88.24,1.0,6.4
2024,56,3734.5,3797.5,0.0,96.43,1.0,6.4
2025,2,2455.5,2455.5,0.0,50.0,1.0,5.2
