variable,Opening scarcity,Opening theaters,Max theaters,Expansion ratio,Opening/max ratio,IMDb rating,IMDb votes,Budget,Opening weekend,Domestic box,Worldwide box,Legs,Worldwide ROI,Avg weeks/theater
Opening scarcity,1.0,-1.0,-0.947,0.554,-0.554,0.22,-0.387,-0.7,-0.884,-0.696,-0.684,0.344,-0.204,-0.09
Opening theaters,-1.0,1.0,0.947,-0.554,0.554,-0.22,0.387,0.7,0.884,0.696,0.684,-0.344,0.204,0.09
Max theaters,-0.947,0.947,1.0,-0.4,0.4,-0.131,0.472,0.732,0.866,0.784,0.769,-0.256,0.283,0.173
Expansion ratio,0.554,-0.554,-0.4,1.0,-1.0,0.411,0.057,-0.308,-0.383,-0.102,-0.101,0.605,0.186,0.392
Opening/max ratio,-0.554,0.554,0.4,-1.0,1.0,-0.411,-0.057,0.308,0.383,0.102,0.101,-0.605,-0.186,-0.392
IMDb rating,0.22,-0.22,-0.131,0.411,-0.411,1.0,0.474,-0.023,-0.085,0.158,0.171,0.514,0.285,0.427
IMDb votes,-0.387,0.387,0.472,0.057,-0.057,0.474,1.0,0.482,0.53,0.668,0.709,0.188,0.461,0.43
Budget,-0.7,0.7,0.732,-0.308,0.308,-0.023,0.482,1.0,0.688,0.66,0.713,-0.135,-0.068,0.207
Opening weekend,-0.884,0.884,0.866,-0.383,0.383,-0.085,0.53,0.688,1.0,0.871,0.828,-0.214,0.404,0.308
Domestic box,-0.696,0.696,0.784,-0.102,0.102,0.158,0.668,0.66,0.871,1.0,0.944,0.136,0.58,0.574
Worldwide box,-0.684,0.684,0.769,-0.101,0.101,0.171,0.709,0.713,0.828,0.944,1.0,0.117,0.594,0.529
Legs,0.344,-0.344,-0.256,0.605,-0.605,0.514,0.188,-0.135,-0.214,0.136,0.117,1.0,0.315,0.677
Worldwide ROI,-0.204,0.204,0.283,0.186,-0.186,0.285,0.461,-0.068,0.404,0.58,0.594,0.315,1.0,0.532
Avg weeks/theater,-0.09,0.09,0.173,0.392,-0.392,0.427,0.43,0.207,0.308,0.574,0.529,0.677,0.532,1.0
