variable,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max
imdb_rating_num,3861.0,6.4661,0.9651,1.5,3.66,4.8,5.3,5.9,6.5,7.1,7.6,7.9,8.4,9.7
legs,3959.0,4.4599,5.4552,1.0,1.5058,1.97,2.15,2.55,3.26,4.7,7.836,10.831,17.4934,172.9
log_worldwide_box_office,3959.0,17.7487,1.7084,10.197,12.3692,14.449,15.5982,16.8669,17.9643,18.9194,19.6897,20.1248,20.7782,21.7961
roi_worldwide_capped,3959.0,3.8769,5.4021,0.0056,0.0399,0.2493,0.4928,1.1065,2.3361,4.324,8.0664,12.351,37.4499,37.6627
platform_release,3959.0,0.0924,0.2897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
limited_release,3959.0,0.221,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
wide_release,3959.0,0.6135,0.487,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
log_opening_theaters,3959.0,6.5006,2.4537,0.6931,0.6931,1.3863,1.7918,6.2403,7.8022,8.0409,8.2113,8.296,8.3779,8.4629
log_expansion_ratio,3959.0,1.3708,1.4853,0.6931,0.6931,0.6931,0.6931,0.6931,0.6954,0.7646,3.9527,5.1786,6.4434,8.2276
log_budget,3959.0,17.0057,1.3126,8.8538,12.8431,14.5087,15.4249,16.3004,17.1828,17.9099,18.516,18.8589,19.2316,19.9467
log_imdb_votes,3867.0,11.1855,1.7791,1.7918,3.205,8.557,9.4028,10.4734,11.4449,12.2673,12.971,13.3973,14.0379,14.9732
is_franchise,3959.0,0.2741,0.4461,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
opening_theaters,3959.0,2052.587,1380.5027,1.0,1.0,3.0,5.0,512.0,2445.0,3104.5,3681.2,4007.0,4349.0,4735.0
max_theaters,3959.0,2250.7666,1235.1069,1.0,9.58,52.9,180.0,1318.0,2525.0,3154.0,3723.0,4029.1,4352.94,4802.0
theater_expansion_ratio,3959.0,33.5378,161.0734,1.0,1.0,1.0,1.0,1.0,1.0044,1.1481,51.075,176.4375,627.555,3742.0
avg_weeks_per_theater,3959.0,5.369,2.9749,0.0,1.0,2.1,2.5,3.4,4.8,6.5,8.7,10.2,16.242,32.7
