variable,platform_release,limited_release,wide_release,log_opening_theaters,log_expansion_ratio,log_budget,log_imdb_votes,is_franchise,imdb_rating_num,legs,log_worldwide_box_office,roi_worldwide_capped
platform_release,1.0,0.599,-0.402,-0.427,0.507,-0.167,0.091,-0.149,0.31,0.291,-0.039,0.124
limited_release,0.599,1.0,-0.671,-0.719,0.63,-0.477,-0.181,-0.27,0.313,0.437,-0.43,-0.093
wide_release,-0.402,-0.671,1.0,0.843,-0.528,0.586,0.279,0.271,-0.28,-0.355,0.539,0.131
log_opening_theaters,-0.427,-0.719,0.843,1.0,-0.554,0.7,0.387,0.412,-0.22,-0.344,0.684,0.204
log_expansion_ratio,0.507,0.63,-0.528,-0.554,1.0,-0.308,0.057,-0.141,0.411,0.605,-0.101,0.186
log_budget,-0.167,-0.477,0.586,0.7,-0.308,1.0,0.482,0.276,-0.023,-0.135,0.713,-0.068
log_imdb_votes,0.091,-0.181,0.279,0.387,0.057,0.482,1.0,0.325,0.474,0.188,0.709,0.461
is_franchise,-0.149,-0.27,0.271,0.412,-0.141,0.276,0.325,1.0,-0.022,-0.059,0.481,0.37
imdb_rating_num,0.31,0.313,-0.28,-0.22,0.411,-0.023,0.474,-0.022,1.0,0.514,0.171,0.285
legs,0.291,0.437,-0.355,-0.344,0.605,-0.135,0.188,-0.059,0.514,1.0,0.117,0.315
log_worldwide_box_office,-0.039,-0.43,0.539,0.684,-0.101,0.713,0.709,0.481,0.171,0.117,1.0,0.594
roi_worldwide_capped,0.124,-0.093,0.131,0.204,0.186,-0.068,0.461,0.37,0.285,0.315,0.594,1.0
