model,term,coef,std_error,p_value,ci_low,ci_high,stars
M1 IMDb rating,Intercept,5.576077,158.915559,0.972009,-305.892695,317.044848,
M1 IMDb rating,C(genre_fe)[T.Adventure],0.175029,0.062359,0.005004,0.052808,0.297251,**
M1 IMDb rating,C(genre_fe)[T.Black Comedy],0.123806,0.093044,0.183317,-0.058558,0.306169,
M1 IMDb rating,C(genre_fe)[T.Comedy],-0.117342,0.050726,0.020707,-0.216763,-0.017922,*
M1 IMDb rating,C(genre_fe)[T.Documentary],1.182718,0.525087,0.024296,0.153566,2.21187,*
M1 IMDb rating,C(genre_fe)[T.Drama],0.343739,0.05313,0.0,0.239606,0.447872,***
M1 IMDb rating,C(genre_fe)[T.Horror],-0.314409,0.065696,2e-06,-0.443171,-0.185647,***
M1 IMDb rating,C(genre_fe)[T.Musical],0.130439,0.118484,0.270942,-0.101786,0.362663,
M1 IMDb rating,C(genre_fe)[T.Other],0.204547,0.520886,0.694548,-0.81637,1.225465,
M1 IMDb rating,C(genre_fe)[T.Romantic Comedy],-0.070774,0.061552,0.25021,-0.191414,0.049865,
M1 IMDb rating,C(genre_fe)[T.Thriller/Suspense],0.148698,0.053859,0.005765,0.043136,0.254261,**
M1 IMDb rating,C(genre_fe)[T.Western],0.146271,0.11152,0.18965,-0.072304,0.364845,
M1 IMDb rating,C(source_fe)[T.Based on Factual Book/Article],-0.074538,0.127954,0.560208,-0.325323,0.176248,
M1 IMDb rating,C(source_fe)[T.Based on Fiction Book/Short Story],-0.040095,0.112537,0.721632,-0.260663,0.180474,
M1 IMDb rating,C(source_fe)[T.Based on Folk Tale/Legend/Fairytale],-0.364068,0.192118,0.058089,-0.740612,0.012476,+
M1 IMDb rating,C(source_fe)[T.Based on Game],-0.720917,0.199802,0.000308,-1.112521,-0.329312,***
M1 IMDb rating,C(source_fe)[T.Based on Movie],-0.270328,0.193491,0.162382,-0.649563,0.108908,
M1 IMDb rating,C(source_fe)[T.Based on Play],-0.081181,0.145717,0.57745,-0.366781,0.204419,
M1 IMDb rating,C(source_fe)[T.Based on Real Life Events],-0.120759,0.139022,0.385049,-0.393237,0.15172,
M1 IMDb rating,C(source_fe)[T.Based on TV],-0.380168,0.140875,0.006963,-0.656278,-0.104058,**
M1 IMDb rating,C(source_fe)[T.Original Screenplay],-0.088962,0.111319,0.424197,-0.307142,0.129219,
M1 IMDb rating,C(source_fe)[T.Other],-0.199252,0.147416,0.176492,-0.488182,0.089677,
M1 IMDb rating,C(source_fe)[T.Remake],-0.26114,0.131401,0.046884,-0.518682,-0.003599,*
M1 IMDb rating,C(source_fe)[T.Spin-Off],-0.225319,0.159149,0.156843,-0.537246,0.086608,
M1 IMDb rating,C(creative_type_fe)[T.Dramatization],0.357933,0.075241,2e-06,0.210464,0.505403,***
M1 IMDb rating,C(creative_type_fe)[T.Factual],0.028331,0.486443,0.953557,-0.92508,0.981742,
M1 IMDb rating,C(creative_type_fe)[T.Fantasy],-0.067849,0.073214,0.354066,-0.211345,0.075647,
M1 IMDb rating,C(creative_type_fe)[T.Historical Fiction],0.193744,0.048102,5.6e-05,0.099466,0.288023,***
M1 IMDb rating,C(creative_type_fe)[T.Kids Fiction],0.002373,0.072611,0.973928,-0.139942,0.144688,
M1 IMDb rating,C(creative_type_fe)[T.Other],0.242366,0.299695,0.418684,-0.345026,0.829757,
M1 IMDb rating,C(creative_type_fe)[T.Science Fiction],0.03758,0.050266,0.454685,-0.060939,0.1361,
M1 IMDb rating,C(creative_type_fe)[T.Super Hero],-0.036885,0.133344,0.782077,-0.298234,0.224465,
